Nombre de sistema,Última comunicación,Versión de producto (Agent),Versión de producto (VirusScan Enterprise),Versión de DAT (VirusScan Enterprise),Tipo de SO,Versión de producto (Endpoint Security Threat Prevention),Versión de AMCore Content,Estado habilitado de OAS
DMXL8241X33,14/11/18 1:08:03 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
DMXL8241X3H,14/11/18 15:16:21 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5021Z7D,27/09/18 20:00:20 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3479.0,
L5CG5031YXX,29/10/18 15:31:17 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3511.0,
L5CG5031YYF,14/11/18 15:11:16 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5031YYR,14/11/18 15:38:51 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5031YZR,14/11/18 15:27:33 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5031YZX,10/10/18 1:42:06 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG5031Z0D,14/11/18 15:01:22 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5031Z1X,12/10/18 4:45:40 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3494.0,
L5CG5031Z2H,14/11/18 15:54:21 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5031Z30,14/11/18 15:29:03 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5031Z95,9/10/18 23:39:26 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG5031ZB5,17/09/18 21:39:58 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3469.0,
L5CG5031ZDJ,13/11/18 23:30:56 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG5031ZDV,14/11/18 15:54:58 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5031ZFC,14/09/18 23:33:36 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3467.0,
L5CG5031ZFL,11/10/18 18:44:47 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3493.0,
L5CG5031ZHL,14/11/18 15:39:20 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5031ZJK,14/11/18 14:58:55 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5031ZK3,17/09/18 21:51:03 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3469.0,
L5CG5031ZLD,13/11/18 23:34:04 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG5031ZLY,11/10/18 0:15:09 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3492.0,
L5CG5031ZMR,9/10/18 16:26:53 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG5031ZMZ,10/10/18 18:49:18 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3492.0,
L5CG5031ZNB,10/10/18 1:07:12 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG5031ZNF,9/10/18 19:52:40 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG5031ZNJ,11/10/18 1:49:46 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3492.0,
L5CG5031ZNP,14/11/18 15:49:11 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
L5CG5031ZP8,14/11/18 15:27:21 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5031ZPS,29/10/18 22:47:11 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3511.0,
L5CG5031ZR4,14/11/18 15:47:40 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5031ZRC,14/11/18 15:44:56 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5031ZRT,18/09/18 17:12:12 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3451.0,
L5CG5031ZS7,14/11/18 15:21:15 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5031ZSJ,18/09/18 17:34:03 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG5031ZTR,12/11/18 4:24:14 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3525.0,
L5CG5031ZWH,15/10/18 20:33:20 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3497.0,
L5CG5031ZX6,18/09/18 17:19:36 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG5031ZXF,14/11/18 15:44:34 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG5031ZXP,14/11/18 15:43:24 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG5031ZY4,8/11/18 16:42:48 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3521.0,
L5CG5031ZYF,14/11/18 15:02:56 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5031ZYK,17/09/18 21:58:34 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3452.0,
L5CG5031ZYZ,17/09/18 23:24:12 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3469.0,
L5CG503200J,9/10/18 19:56:03 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG5032018,21/09/18 2:29:19 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3472.0,
L5CG5032025,14/11/18 15:25:06 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG503202S,11/10/18 0:42:21 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG503202W,9/10/18 19:45:48 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3470.0,
L5CG503203T,14/11/18 3:01:30 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5032041,14/11/18 15:00:57 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG5032048,14/11/18 4:32:17 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
L5CG503205Y,2/11/18 18:16:10 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3515.0,
L5CG503206J,14/11/18 15:36:48 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG503207D,14/11/18 15:26:53 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG503207N,1/11/18 18:06:32 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3514.0,
L5CG5032083,14/11/18 15:22:12 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG5032085,11/10/18 2:43:32 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3492.0,
L5CG50320B3,14/11/18 15:41:24 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
L5CG50320B9,14/11/18 15:51:59 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG50320C7,9/10/18 19:30:09 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG50320CD,14/11/18 15:37:32 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG50320D3,10/10/18 22:01:37 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3492.0,
L5CG50320FF,14/11/18 15:39:39 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG50320FW,14/11/18 15:46:47 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG50320GF,11/10/18 16:26:05 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3493.0,
L5CG50320HM,1/11/18 15:52:36 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3514.0,
L5CG50320J6,31/10/18 20:43:04 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3513.0,
L5CG50320JX,14/11/18 15:56:34 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
L5CG50320K7,14/11/18 15:32:57 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG50320KL,14/11/18 15:12:45 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
L5CG50320KQ,20/09/18 18:34:11 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3452.0,
L5CG50320L0,14/11/18 15:20:27 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
L5CG50320NQ,9/10/18 19:07:16 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3491.0,
L5CG50320P5,17/09/18 21:38:57 CEST,5.0.6.220,,,Windows 10,10.5.3.3264,3469.0,
L5CG50320R4,1/11/18 16:01:52 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3514.0,
